Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	03.11.2023 3:45:07	Microsoft-Windows-Windows Defender	1151	Отсутствует	"Отчет о работоспособности клиента Endpoint Protection (время в формате UTC): 
 	Версия платформы:  4.18.23090.2008
 	Версия подсистемы:  1.1.23090.2007
 	Версия подсистемы проверки сети в режиме реального времени:  1.1.23090.2007
 	Версия службы анализа антивирусной защиты:  1.399.1733.0
 	Версия службы анализа антишпионской защиты:  1.399.1733.0
 	Версия службы анализа безопасности для проверки сети в режиме реального времени:  1.399.1733.0
 	Состояние RTP:  Включен
 	Состояние OA:  Включен
 	Состояние IOAV:  Включен
 	Состояние BM:  Включен
 	Возраст службы анализа антивирусной защиты:  0
 	Возраст службы анализа антишпионской защиты:  0
 	Возраст последней быстрой проверки:  0
 	Возраст последней полной проверки:  4294967295
 	Время создания службы анализа антивирусной защиты:  2023-11-02T10:44:59Z
 	Время создания службы анализа антишпионской защиты:  2023-11-02T10:44:59Z
 	Время начала последней быстрой проверки:  2023-11-02T15:04:24Z
 	Время окончания последней быстрой проверки:  2023-11-02T15:05:03Z
 	Источник последней быстрой проверки:  1
 	Время начала последней полной проверки:  1601-01-01T00:00:00Z
 	Время окончания последней полной проверки:  1601-01-01T00:00:00Z
 	Источник последней полной проверки:  0
 	Состояние продукта: 0x00080000
"
Сведения	03.11.2023 3:45:07	Microsoft-Windows-Windows Defender	1150	Отсутствует	"Клиент Endpoint Protection исправен и работает.
 	Версия платформы: 4.18.23090.2008
 	Версия подсистемы: 1.1.23090.2007
 	Версия службы анализа безопасности: 1.399.1733.0
"
Сведения	03.11.2023 2:45:07	Microsoft-Windows-Windows Defender	1151	Отсутствует	"Отчет о работоспособности клиента Endpoint Protection (время в формате UTC): 
 	Версия платформы:  4.18.23090.2008
 	Версия подсистемы:  1.1.23090.2007
 	Версия подсистемы проверки сети в режиме реального времени:  1.1.23090.2007
 	Версия службы анализа антивирусной защиты:  1.399.1733.0
 	Версия службы анализа антишпионской защиты:  1.399.1733.0
 	Версия службы анализа безопасности для проверки сети в режиме реального времени:  1.399.1733.0
 	Состояние RTP:  Включен
 	Состояние OA:  Включен
 	Состояние IOAV:  Включен
 	Состояние BM:  Включен
 	Возраст службы анализа антивирусной защиты:  0
 	Возраст службы анализа антишпионской защиты:  0
 	Возраст последней быстрой проверки:  0
 	Возраст последней полной проверки:  4294967295
 	Время создания службы анализа антивирусной защиты:  2023-11-02T10:44:59Z
 	Время создания службы анализа антишпионской защиты:  2023-11-02T10:44:59Z
 	Время начала последней быстрой проверки:  2023-11-02T15:04:24Z
 	Время окончания последней быстрой проверки:  2023-11-02T15:05:03Z
 	Источник последней быстрой проверки:  1
 	Время начала последней полной проверки:  1601-01-01T00:00:00Z
 	Время окончания последней полной проверки:  1601-01-01T00:00:00Z
 	Источник последней полной проверки:  0
 	Состояние продукта: 0x00080000
"
Сведения	03.11.2023 2:45:07	Microsoft-Windows-Windows Defender	1150	Отсутствует	"Клиент Endpoint Protection исправен и работает.
 	Версия платформы: 4.18.23090.2008
 	Версия подсистемы: 1.1.23090.2007
 	Версия службы анализа безопасности: 1.399.1733.0
"
Сведения	03.11.2023 1:45:07	Microsoft-Windows-Windows Defender	1151	Отсутствует	"Отчет о работоспособности клиента Endpoint Protection (время в формате UTC): 
 	Версия платформы:  4.18.23090.2008
 	Версия подсистемы:  1.1.23090.2007
 	Версия подсистемы проверки сети в режиме реального времени:  1.1.23090.2007
 	Версия службы анализа антивирусной защиты:  1.399.1733.0
 	Версия службы анализа антишпионской защиты:  1.399.1733.0
 	Версия службы анализа безопасности для проверки сети в режиме реального времени:  1.399.1733.0
 	Состояние RTP:  Включен
 	Состояние OA:  Включен
 	Состояние IOAV:  Включен
 	Состояние BM:  Включен
 	Возраст службы анализа антивирусной защиты:  0
 	Возраст службы анализа антишпионской защиты:  0
 	Возраст последней быстрой проверки:  0
 	Возраст последней полной проверки:  4294967295
 	Время создания службы анализа антивирусной защиты:  2023-11-02T10:44:59Z
 	Время создания службы анализа антишпионской защиты:  2023-11-02T10:44:59Z
 	Время начала последней быстрой проверки:  2023-11-02T15:04:24Z
 	Время окончания последней быстрой проверки:  2023-11-02T15:05:03Z
 	Источник последней быстрой проверки:  1
 	Время начала последней полной проверки:  1601-01-01T00:00:00Z
 	Время окончания последней полной проверки:  1601-01-01T00:00:00Z
 	Источник последней полной проверки:  0
 	Состояние продукта: 0x00080000
"
Сведения	03.11.2023 1:45:07	Microsoft-Windows-Windows Defender	1150	Отсутствует	"Клиент Endpoint Protection исправен и работает.
 	Версия платформы: 4.18.23090.2008
 	Версия подсистемы: 1.1.23090.2007
 	Версия службы анализа безопасности: 1.399.1733.0
"
Сведения	03.11.2023 0:45:07	Microsoft-Windows-Windows Defender	1151	Отсутствует	"Отчет о работоспособности клиента Endpoint Protection (время в формате UTC): 
 	Версия платформы:  4.18.23090.2008
 	Версия подсистемы:  1.1.23090.2007
 	Версия подсистемы проверки сети в режиме реального времени:  1.1.23090.2007
 	Версия службы анализа антивирусной защиты:  1.399.1733.0
 	Версия службы анализа антишпионской защиты:  1.399.1733.0
 	Версия службы анализа безопасности для проверки сети в режиме реального времени:  1.399.1733.0
 	Состояние RTP:  Включен
 	Состояние OA:  Включен
 	Состояние IOAV:  Включен
 	Состояние BM:  Включен
 	Возраст службы анализа антивирусной защиты:  0
 	Возраст службы анализа антишпионской защиты:  0
 	Возраст последней быстрой проверки:  0
 	Возраст последней полной проверки:  4294967295
 	Время создания службы анализа антивирусной защиты:  2023-11-02T10:44:59Z
 	Время создания службы анализа антишпионской защиты:  2023-11-02T10:44:59Z
 	Время начала последней быстрой проверки:  2023-11-02T15:04:24Z
 	Время окончания последней быстрой проверки:  2023-11-02T15:05:03Z
 	Источник последней быстрой проверки:  1
 	Время начала последней полной проверки:  1601-01-01T00:00:00Z
 	Время окончания последней полной проверки:  1601-01-01T00:00:00Z
 	Источник последней полной проверки:  0
 	Состояние продукта: 0x00080000
"
Сведения	03.11.2023 0:45:07	Microsoft-Windows-Windows Defender	1150	Отсутствует	"Клиент Endpoint Protection исправен и работает.
 	Версия платформы: 4.18.23090.2008
 	Версия подсистемы: 1.1.23090.2007
 	Версия службы анализа безопасности: 1.399.1733.0
"
Сведения	02.11.2023 23:45:07	Microsoft-Windows-Windows Defender	1151	Отсутствует	"Отчет о работоспособности клиента Endpoint Protection (время в формате UTC): 
 	Версия платформы:  4.18.23090.2008
 	Версия подсистемы:  1.1.23090.2007
 	Версия подсистемы проверки сети в режиме реального времени:  1.1.23090.2007
 	Версия службы анализа антивирусной защиты:  1.399.1733.0
 	Версия службы анализа антишпионской защиты:  1.399.1733.0
 	Версия службы анализа безопасности для проверки сети в режиме реального времени:  1.399.1733.0
 	Состояние RTP:  Включен
 	Состояние OA:  Включен
 	Состояние IOAV:  Включен
 	Состояние BM:  Включен
 	Возраст службы анализа антивирусной защиты:  0
 	Возраст службы анализа антишпионской защиты:  0
 	Возраст последней быстрой проверки:  0
 	Возраст последней полной проверки:  4294967295
 	Время создания службы анализа антивирусной защиты:  2023-11-02T10:44:59Z
 	Время создания службы анализа антишпионской защиты:  2023-11-02T10:44:59Z
 	Время начала последней быстрой проверки:  2023-11-02T15:04:24Z
 	Время окончания последней быстрой проверки:  2023-11-02T15:05:03Z
 	Источник последней быстрой проверки:  1
 	Время начала последней полной проверки:  1601-01-01T00:00:00Z
 	Время окончания последней полной проверки:  1601-01-01T00:00:00Z
 	Источник последней полной проверки:  0
 	Состояние продукта: 0x00080000
"
Сведения	02.11.2023 23:45:07	Microsoft-Windows-Windows Defender	1150	Отсутствует	"Клиент Endpoint Protection исправен и работает.
 	Версия платформы: 4.18.23090.2008
 	Версия подсистемы: 1.1.23090.2007
 	Версия службы анализа безопасности: 1.399.1733.0
"
